mae,rmse,r2,mean_pinball,picp_90,mpiw_90,picp_80,mpiw_80,picp_50,mpiw_50,pinball_q05,pinball_q10,pinball_q25,pinball_q50,pinball_q75,pinball_q90,pinball_q95,fold,target,horizon,train_span_sec,test_span_sec,test_samples
0.5438819444444463,0.726753542685248,0.8127381905649133,0.17935828869047782,98.14814814814815,3.915461342592614,94.44444444444444,2.8904583333333513,71.29629629629629,1.4297430555555835,0.10500751736111079,0.16404432870370783,0.2565487557870398,0.27194097222222313,0.22051258680555885,0.1435494212962976,0.09390443865740668,2,TOF_Alt,3,0-1871,1872-2303,432
0.6126851851851783,0.8563611572887738,0.7378513748246218,0.20621172040343896,96.75925925925925,4.385708333333412,93.05555555555556,3.236500694444534,70.83333333333334,1.5911533564814888,0.12217760995370607,0.18822407407407976,0.2855587384259297,0.30634259259258917,0.2641902488425822,0.16956812500000437,0.10742065393518133,2,TOF_Alt,5,0-1871,1872-2303,432
0.9419444444444433,1.2523160719169428,0.9845489107566319,0.2778762235449734,95.37037037037037,4.856164236111111,84.72222222222221,3.3677844907407413,54.166666666666664,1.5755237268518512,0.14312443865740732,0.21694312499999982,0.37235214120370363,0.4709722222222216,0.38230425347222197,0.22388949074074085,0.13554789351851845,3,Mag_heading,1,0-2303,2304-2735,432
0.9427407407407402,1.257292638083026,0.9844185611092927,0.28406798528439153,93.75,4.751495254629632,83.79629629629629,3.405028703703706,52.54629629629629,1.62632175925926,0.14563283564814822,0.22817650462962982,0.38708521412037084,0.4713703703703701,0.3917787905092589,0.22605136574074083,0.13838081597222213,3,Mag_heading,3,0-2303,2304-2735,432
0.9475115740740745,1.2794761686736125,0.9838642267797183,0.2811043741732805,93.98148148148148,4.69013796296296,84.25925925925925,3.2712976851851843,51.85185185185185,1.5294924768518503,0.14138892361111108,0.22157365740740756,0.3901144386574073,0.47375578703703725,0.3767893518518517,0.2226894444444445,0.14141901620370395,3,Mag_heading,5,0-2303,2304-2735,432
0.760829861111108,0.9410541773453186,0.9999951744787134,0.2072802852182558,82.87037037037037,2.3542980324073928,69.44444444444444,1.8863395833333223,40.27777777777778,1.01113078703703,0.08476347222222246,0.15177236111111078,0.2904473379629635,0.380414930555554,0.3002537615740767,0.15565673611111835,0.08765339699074486,3,TOF_Alt,1,0-2303,2304-2735,432
1.7541539351851843,2.177700285921125,0.9999746499133408,0.46079015873016066,83.33333333333334,4.946878703703711,65.97222222222221,3.738462037037013,31.944444444444443,1.9306296296296352,0.19109074074074087,0.32810122685184995,0.6352695312500022,0.8770769675925921,0.695703269675929,0.32526488425927524,0.17302449074073506,3,TOF_Alt,3,0-2303,2304-2735,432
2.763804398148165,3.416715696040508,0.9999387702581455,0.853742323908734,54.861111111111114,5.73743819444443,46.06481481481482,4.575710879629592,26.38888888888889,2.6558570601851983,0.27249243055555267,0.4932256944444432,1.0106352719907417,1.3819021990740825,1.2563370949074206,0.9132370601851908,0.6483665162037058,3,TOF_Alt,5,0-2303,2304-2735,432
3.674285879629628,5.126927923115306,0.7668492164060032,1.2420234730489417,65.50925925925925,7.65661909722222,51.157407407407405,5.664281481481481,25.462962962962965,2.6569050925925923,0.6986335937500003,1.0078334953703703,1.5409807581018518,1.837142939814814,1.6082188946759257,1.1334849305555552,0.8678696990740733,4,Mag_heading,1,0-2735,2736-3167,432
3.714984953703704,5.1945997345511685,0.7601612253504995,1.319455302579365,60.64814814814815,6.898756944444444,48.148148148148145,5.112945833333332,26.851851851851855,2.4326793981481476,0.8621153125000005,1.143929768518519,1.6284800347222217,1.857492476851852,1.651543981481482,1.1920796296296288,0.9005459143518509,4,Mag_heading,3,0-2735,2736-3167,432
3.7659537037037003,5.095481349931524,0.7708603063038583,1.3254338822751317,59.72222222222222,6.846852430555554,47.4537037037037,5.160935416666668,25.694444444444443,2.5516707175925926,0.8449211805555564,1.1286618518518505,1.6140289351851829,1.8829768518518502,1.66979152199074,1.2058249768518516,0.9318318576388889,4,Mag_heading,5,0-2735,2736-3167,432
0.5439166666666845,0.683290942113302,0.9999994599454725,0.16084438822751382,93.98148148148148,2.8126805555555965,88.88888888888889,2.208567824074093,58.56481481481482,1.1169606481481973,0.08158151620370652,0.13217018518518805,0.22743185763889612,0.27195833333334224,0.2124379340277624,0.12489030092591781,0.07544059027778316,4,TOF_Alt,1,0-2735,2736-3167,432
1.0079710648148839,1.263520302100271,0.9999981584685257,0.3010111069775173,95.37037037037037,5.585768634259158,89.35185185185185,4.263451620370238,60.18518518518518,2.1431215277777644,0.17317701967591675,0.28063365740740887,0.46154195601853243,0.5039855324074419,0.3623015046296245,0.19968812499999056,0.12574995370370598,4,TOF_Alt,3,0-2735,2736-3167,432
1.2339641203704173,1.5408407012248162,0.9999972689910771,0.36485884011243364,95.83333333333334,6.611504050925881,89.81481481481481,5.144562962962918,58.56481481481482,2.6584641203703714,0.194179224537036,0.3228727777777724,0.5351598668981558,0.6169820601852086,0.4649237557870498,0.2621152314814441,0.157778964120369,4,TOF_Alt,5,0-2735,2736-3167,432
13.026757540603242,17.48734389983549,-0.07536031989538694,4.632590365429231,55.68445475638051,22.844319721577744,44.31554524361949,17.277907888631116,23.665893271461716,8.465371809744797,2.8097377552204157,3.8340222969837563,5.487759425754057,6.513378770301621,6.015792343387469,4.3986019025522,3.3688400638051017,5,Mag_heading,1,0-3167,3168-3599,431
12.610956876456877,16.98545348147777,-0.017391671312524615,4.41248648934399,59.90675990675991,24.423473076923084,51.28205128205128,18.42354265734265,23.543123543123542,8.127731934731923,2.474183735431234,3.396551258741259,5.266127913752915,6.305478438228438,5.735181526806528,4.303946596736598,3.4059359557109583,5,Mag_heading,3,0-3167,3168-3599,429
12.620803278688523,16.58071497008509,0.03131480915468288,4.448697373703579,50.585480093676814,21.365609250585468,41.68618266978923,16.623306323185034,18.0327868852459,7.120408079625308,2.773007271662763,3.809093911007025,5.40991408079625,6.310401639344262,5.725086651053863,3.90748871194379,3.205889350117097,5,Mag_heading,5,0-3167,3168-3599,427
0.512807424594015,0.6261938972745197,0.9999997044404837,0.14759026930726268,96.51972157772622,2.6681030162413206,89.0951276102088,2.066987470997649,53.36426914153132,1.05395185614862,0.07638808584686606,0.12089930394431325,0.2104196635730732,0.2564037122970075,0.1964801334106765,0.10746324825986575,0.06507773781903681,5,TOF_Alt,1,0-3167,3168-3599,431
0.8961969696970968,1.1415894562393345,0.9999990092702629,0.2978278280053496,96.5034965034965,6.19090827505867,89.27738927738928,4.663265967366059,65.5011655011655,2.256572261072345,0.21229458041960514,0.33009582750584626,0.46119449300700244,0.4480984848485484,0.34014495920747845,0.1851918414918671,0.10777460955709978,5,TOF_Alt,3,0-3167,3168-3599,429
1.1018196721312474,1.3676111067642178,0.9999985658784504,0.3295239419538499,96.25292740046838,6.16637330210755,89.46135831381733,4.651773536299613,60.187353629976585,2.360867096018736,0.1812255269320868,0.28300854800938513,0.4552688817330436,0.5509098360656237,0.4456024590164424,0.2442257142857182,0.14642662763464917,5,TOF_Alt,5,0-3167,3168-3599,427
