target,horizon,iter,mean_test_mae,std_test_mae,mean_train_mae,gen_gap,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,max_samples,is_best,params
Mag_heading,3,14,1.1354018003273323,0.5351596300265069,0.588455775303866,0.5469460250234663,300,18.0,4,8,0.85,0.95,False,"{""n_estimators"": 300, ""min_samples_split"": 8, ""min_samples_leaf"": 4, ""max_samples"": 0.95, ""max_features"": 0.85, ""max_depth"": 18, ""bootstrap"": true}"
Mag_heading,3,15,1.256339811783961,0.5996057939496252,1.1096683818864335,0.14667142989752757,200,22.0,2,48,sqrt,,False,"{""n_estimators"": 200, ""min_samples_split"": 48, ""min_samples_leaf"": 2, ""max_samples"": null, ""max_features"": ""sqrt"", ""max_depth"": 22, ""bootstrap"": true}"
Mag_heading,3,16,1.0741726677577743,0.5413370843788627,1.2486623280024047,-0.17448966024463042,300,22.0,20,32,0.4,0.6,False,"{""n_estimators"": 300, ""min_samples_split"": 32, ""min_samples_leaf"": 20, ""max_samples"": 0.6, ""max_features"": 0.4, ""max_depth"": 22, ""bootstrap"": true}"
Mag_heading,5,1,1.0820468494271682,0.5954682646754185,1.1986506124209235,-0.1166037629937553,200,8.0,20,4,0.55,0.95,False,"{""n_estimators"": 200, ""min_samples_split"": 4, ""min_samples_leaf"": 20, ""max_samples"": 0.95, ""max_features"": 0.55, ""max_depth"": 8, ""bootstrap"": true}"
Mag_heading,5,2,1.1772710720130934,0.6270549284031344,1.3603129415777875,-0.18304186956469404,160,6.0,30,16,sqrt,0.85,False,"{""n_estimators"": 160, ""min_samples_split"": 16, ""min_samples_leaf"": 30, ""max_samples"": 0.85, ""max_features"": ""sqrt"", ""max_depth"": 6, ""bootstrap"": true}"
Mag_heading,5,3,1.1125654664484448,0.6052692499966612,0.8607257596275227,0.25183970682092205,160,,6,4,0.55,0.75,False,"{""n_estimators"": 160, ""min_samples_split"": 4, ""min_samples_leaf"": 6, ""max_samples"": 0.75, ""max_features"": 0.55, ""max_depth"": null, ""bootstrap"": true}"
Mag_heading,5,4,1.0991423895253676,0.5990334477237128,1.1589466914514466,-0.059804301926078995,250,18.0,15,32,0.4,0.75,False,"{""n_estimators"": 250, ""min_samples_split"": 32, ""min_samples_leaf"": 15, ""max_samples"": 0.75, ""max_features"": 0.4, ""max_depth"": 18, ""bootstrap"": true}"
Mag_heading,5,5,1.0890785597381336,0.5971788369792655,1.122547133506004,-0.03346857376787038,120,6.0,6,8,0.7,0.75,False,"{""n_estimators"": 120, ""min_samples_split"": 8, ""min_samples_leaf"": 6, ""max_samples"": 0.75, ""max_features"": 0.7, ""max_depth"": 6, ""bootstrap"": true}"
Mag_heading,5,6,1.0949881342062189,0.5969223040415218,1.0919365521292093,0.003051582077009618,80,12.0,10,24,0.7,0.75,False,"{""n_estimators"": 80, ""min_samples_split"": 24, ""min_samples_leaf"": 10, ""max_samples"": 0.75, ""max_features"": 0.7, ""max_depth"": 12, ""bootstrap"": true}"
Mag_heading,5,7,1.257292348608837,0.6098771958060348,1.1097581148106686,0.14753423379816843,120,14.0,2,32,0.4,0.6,False,"{""n_estimators"": 120, ""min_samples_split"": 32, ""min_samples_leaf"": 2, ""max_samples"": 0.6, ""max_features"": 0.4, ""max_depth"": 14, ""bootstrap"": true}"
Mag_heading,5,8,1.069292553191489,0.592884814757541,1.2263621848966864,-0.1570696317051974,300,18.0,30,32,0.85,,True,"{""n_estimators"": 300, ""min_samples_split"": 32, ""min_samples_leaf"": 30, ""max_samples"": null, ""max_features"": 0.85, ""max_depth"": 18, ""bootstrap"": true}"
Mag_heading,5,9,1.091081833060556,0.6050274912267373,1.0931051800029845,-0.00202334694242845,200,8.0,10,16,0.55,,False,"{""n_estimators"": 200, ""min_samples_split"": 16, ""min_samples_leaf"": 10, ""max_samples"": null, ""max_features"": 0.55, ""max_depth"": 8, ""bootstrap"": true}"
Mag_heading,5,10,1.0735384615384613,0.5849315338774617,1.1608564736388949,-0.08731801210043355,160,12.0,20,12,1.0,,False,"{""n_estimators"": 160, ""min_samples_split"": 12, ""min_samples_leaf"": 20, ""max_samples"": null, ""max_features"": 1.0, ""max_depth"": 12, ""bootstrap"": true}"
Mag_heading,5,11,1.0863085106382973,0.5949861063234873,1.108774816037266,-0.022466305398968656,200,22.0,15,16,0.55,0.95,False,"{""n_estimators"": 200, ""min_samples_split"": 16, ""min_samples_leaf"": 15, ""max_samples"": 0.95, ""max_features"": 0.55, ""max_depth"": 22, ""bootstrap"": true}"
Mag_heading,5,12,1.1257982815057277,0.600049578194637,1.101943769524369,0.023854511981358684,160,22.0,10,12,0.4,0.6,False,"{""n_estimators"": 160, ""min_samples_split"": 12, ""min_samples_leaf"": 10, ""max_samples"": 0.6, ""max_features"": 0.4, ""max_depth"": 22, ""bootstrap"": true}"
Mag_heading,5,13,1.1728617021276597,0.6242919796737968,1.3002933100064515,-0.12743160787879182,120,6.0,15,12,sqrt,0.85,False,"{""n_estimators"": 120, ""min_samples_split"": 12, ""min_samples_leaf"": 15, ""max_samples"": 0.85, ""max_features"": ""sqrt"", ""max_depth"": 6, ""bootstrap"": true}"
Mag_heading,5,14,1.1189298281505724,0.5961755529668679,0.5963097873775323,0.5226200407730401,300,18.0,4,8,0.85,0.95,False,"{""n_estimators"": 300, ""min_samples_split"": 8, ""min_samples_leaf"": 4, ""max_samples"": 0.95, ""max_features"": 0.85, ""max_depth"": 18, ""bootstrap"": true}"
Mag_heading,5,15,1.4392855973813419,0.7684555109586235,1.1157447643025584,0.32354083307878345,200,22.0,2,48,sqrt,,False,"{""n_estimators"": 200, ""min_samples_split"": 48, ""min_samples_leaf"": 2, ""max_samples"": null, ""max_features"": ""sqrt"", ""max_depth"": 22, ""bootstrap"": true}"
Mag_heading,5,16,1.0888514729950898,0.6079465341066255,1.2284706530507852,-0.1396191800556954,300,22.0,20,32,0.4,0.6,False,"{""n_estimators"": 300, ""min_samples_split"": 32, ""min_samples_leaf"": 20, ""max_samples"": 0.6, ""max_features"": 0.4, ""max_depth"": 22, ""bootstrap"": true}"
TOF_Alt,1,1,0.5992757774140808,0.22160617310468156,0.3666445113466831,0.2326312660673977,200,8.0,20,4,0.55,0.95,False,"{""n_estimators"": 200, ""min_samples_split"": 4, ""min_samples_leaf"": 20, ""max_samples"": 0.95, ""max_features"": 0.55, ""max_depth"": 8, ""bootstrap"": true}"
TOF_Alt,1,2,0.5952127659574431,0.1393215982621913,0.4209540619329633,0.1742587040244798,160,6.0,30,16,sqrt,0.85,True,"{""n_estimators"": 160, ""min_samples_split"": 16, ""min_samples_leaf"": 30, ""max_samples"": 0.85, ""max_features"": ""sqrt"", ""max_depth"": 6, ""bootstrap"": true}"
